Enode B,Région,Site Théorique,N° SI Géo,PTN C ( raccordement),Modèle PTN raccordement,Port PTN C,PTN B (R+1),Modèle PTN R+1,Port PTN B,Shapping PTN (BDO),PkLoss (18/05/18),Delay (18/05/18),BE,AF22,CS1,Coordonnée WGS84 X,Coordonnée WGS84 Y,Unité urbaine (nb habitant),CRZ,Opérateur SFR/BYTEL,Adresse IP,IPSEC,Fournisseur (H/E),"Egress Scheduler Policy (Crozon/No Crozon Ancienne, 7750 5 Level Nouvelle) PTN raccordement","Egress Scheduler Policy (Crozon/No Crozon Ancienne, 7750 5 Level Nouvelle) PTN R+1",Egress perc of rate,Shapping PTN (BDR),Shapping PTN Raccordement (Egress Rate),Shapping PTN R+1 (Egress Rate),Débit Max Radio,Operational Speed PTN Raccordement,Operational Speed PTN R+1,Config Speed PTN Raccordement,Config Speed PTN R+1,Config Duplex PTN Raccordement (Half/Full),Config Duplex PTN R+1 (Half/Full),NEO,MX 1+0,MX 1+1,Somme FH limitant,IPASOLINK 200,IPASOLINK 400,MINI-LINK-TN-2P,"MINI-LINK-
TN-6P","MINI-LINK-CN_510_1+0",MINI-LINK-CN_510_2+0,MINI-LINK-TN_V2,RTN380,RTN380_R2,RTN905_2A,RTN905_1A,RTN905_2A_32E1,RTN905_2E,FRX-3E,Somme FH,KP FH-CAP,KP FH-LH,Commentaires,Etat investiguation 
E00002,MED,T72416,SI054582,PTN00469,7750, 4/2/21,PTN00469,7750, 4/2/21,Default,,,,,,5.10451387285334,43.6500546536702,,Oui,,,,,NO_CROZON,NO_CROZON,100,,Default,Default,0,1G,1G,1G,1G,full,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
E00003,MED,T34313,SI660837,,,,,,,,,,,,,5.13738541725141,43.6289250133392,,Oui,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
E00004,IDF,T79145,SI727711,PTN00946,7750, 3/2/1,PTN00946,7750, 3/2/1,78000,,,,,,1.4832599772641,48.7511867852936,"Commune <= 0,5 Khab",Oui,CRZ BYT,,,,NO_CROZON,NO_CROZON,1000,,Default,Default,0,1G,1G,1G,1G,full,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
E00005,MED,T72537,SI055914,PTN01460,7705, 1/4/8,PTN01460,7705, 1/4/8,Default,,,,,,5.20634121994117,43.7528898715327,Commune sup 1 Khab,Oui,CRZ BYT,,,,NO,NO, ,,618000,618000,456,1G,1G,1G,1G,full,full,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,,,,
E00007,MED,T29842,SI332819,PTN00649,7750, 4/2/19,PTN00649,7750, 4/2/19,1000000,,,,,,4.26484730144961,43.9704213946476,Commune sup 1 Khab,Oui,CRZ BYT,,,,CROZON_LIMIT_ON,CROZON_LIMIT_ON,100,,Default,Default,622,1G,1G,1G,1G,full,full,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,
E00008,MED,T29770,SI725241,,,,,,,,,,,,,4.35910477779425,43.8413966252964,UU sup 100 Khab,Oui,CRZ BYT,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
E00009,MED,T73340,SI126058,PTN00651,7750, 3/2/17,PTN00651,7750, 3/2/17,448000,,,,,,5.11416643673834,43.629343790185,UU sup 50 Khab,Oui,CRZ BYT,,,,NO_CROZON,NO_CROZON,1000,,Default,Default,448,100M,100M,1G,1G,full,full,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
E00010,IDF,T79833,SI149110,PTN01320,7705, 1/4/5,PTN00146,7750, 4/1/19,Default,,,,,,1.53904417438982,48.8317332271023,"Commune entre 0,5 Khab et 1 Khab",Oui,CRZ BYT,,,,NO,NO,100,,448000,,152,1G,1G,1G,1G,full,full,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,,,,
E00011,CTA,T35356,SI725934,PTN00330,7750, 5/2/10,PTN00330,7750, 5/2/10,225000,,,,,,4.68119404885784,46.2815132106486,"Commune <= 0,5 Khab",Oui,CRZ BYT,,,,NO_CROZON,NO_CROZON,100,,Default,Default,225,1G,1G,1G,1G,full,full,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
E00012,IDF,T96801,SI797602,PTN00004,7750, 3/1/3,PTN00004,7750, 3/1/3,Default,,,,,,2.2617902923352,48.7256927367768,,Non,,,,,NO_CROZON,NO_CROZON,100,,Default,Default,0,1G,1G,1G,1G,full,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
